timestamp,project_id,location,latitude,longitude,elevation_meters,project_type,vegetation_type,density_of_vegetation,soil_moisture,temperature_c,humidity_percent,wind_speed_kph,sunlight_hours,weather_condition,project_status,water_usage_liters,maintenance_required,landscape_architect_id,budget_allocated_php,contract_amount_php,environmental_impact_assessment_score,payment_status,owner,designer,deposit_php,withdraw_php,balance_checker_php
2025-05-30 20:26:43.487447,PRJ4680,Bacolod City,10.673298,122.94678,1885.7,Public Plaza,Ornamental Shrubs,85.0,43.13,33.9,61.0,1.7,6.3,Cloudy,Schematics Phase,95.3,False,3108,2310774,1533934,9.9,Overdue,Cyler Cordova,Urban Eden Co.,4347780.63,1725234.71,2622545.92
2025-05-25 20:26:43.490734,PRJ9917,Dasmariñas,14.336329,120.944176,547.1,Campus Landscape,Native Grass,27.4,26.47,29.4,58.1,12.8,9.5,Cloudy,Construction Phase,103.5,True,9076,3701519,1593748,5.1,Pending,Shawn Domingo,Osias Landscape Design Studio,2098188.95,525536.56,1572652.39
2025-05-16 20:26:43.491287,PRJ4412,Imus,14.432608,120.943093,1410.7,Institutional,Ground Cover,42.1,36.46,34.0,88.8,11.1,8.4,Rainy,Contract Document Phase,138.7,True,5899,1358573,4872659,9.2,Paid,John Carlo Pimentel,Leafline Studio,657093.74,371009.85,286083.89
2025-05-19 20:26:43.491665,PRJ4942,Naga City,13.628742,123.196506,219.6,Public Plaza,Native Grass,62.7,54.77,26.0,89.7,17.8,7.5,Windy,Contract Document Phase,216.1,False,7890,563340,5122263,6.6,Paid,Juan Cruz,GreenForm Innovations,4103370.25,3543574.06,559796.19
2025-05-10 20:26:43.492031,PRJ8541,Biñan,14.339566,121.088356,1528.5,Residential Landscape,Ground Cover,21.9,33.48,33.0,59.9,12.2,9.4,Stormy,Contract Document Phase,202.9,False,3559,4874207,2623955,6.5,Overdue,Albert Pablo,BotaniCore Inc.,1187473.94,356592.75,830881.19
2025-06-07 20:26:43.492409,PRJ3828,Zamboanga City,6.923653,122.083014,157.3,Institutional,Ground Cover,92.6,31.79,29.1,82.7,18.8,6.5,Stormy,Maintenance Phase,221.7,False,8513,1931305,1894294,2.7,Paid,Dranreb Manuel,TropiLand Design,2717612.15,1232121.72,1485490.43
2025-05-22 20:26:43.492768,PRJ7673,Butuan,8.940047,125.532595,1036.9,Rooftop Garden,Tropical Trees,68.8,40.38,29.0,76.8,12.1,4.1,Cloudy,Construction Phase,121.7,True,4296,2243594,5091041,3.9,Paid,Cyler Cordova,Leafline Studio,2768623.35,343513.32,2425110.03
2025-05-24 20:26:43.493124,PRJ4174,Muntinlupa,14.404296,121.036467,1470.8,Residential Landscape,Ground Cover,55.8,29.13,31.3,71.3,16.8,9.0,Sunny,Maintenance Phase,79.8,True,6311,2571247,459251,1.9,Overdue,John Carlo Pimentel,GreenForm Innovations,961358.07,951224.27,10133.8
2025-05-30 20:26:43.493501,PRJ3129,Zamboanga City,6.915684,122.08207,1513.3,Rooftop Garden,Native Grass,44.7,73.85,32.0,50.4,11.8,6.5,Windy,Design Devt. Phase,86.2,False,0911,4718875,2660989,2.8,Pending,Jacob Vasquez,ArborVista Design,4063614.02,400653.85,3662960.17
2025-06-08 20:26:43.493858,PRJ3921,Marikina,14.649634,121.096076,112.7,Residential Landscape,Ground Cover,77.5,60.7,26.7,73.5,16.9,8.9,Stormy,Maintenance Phase,234.4,False,4832,2638243,2512095,8.1,Overdue,Christian Guillermo,NatureScape PH,985566.61,634303.01,351263.6
